id,name,description,category,hsn_code,meta,created_at,updated_at,category_code
1,Demolition services,details of prodct,food,995431,,2023-01-06 09:28:44.689615+00,2023-01-06 09:28:44.689615+00,
2,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS",,Iron and Steel,7201,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
3,"IRON AND STEEL~Pig iron and spiegeleisen in pigs, blocks or other primary forms~Non-alloy pig iron containing by weight 0.5% or less of phosphorus",,Iron and Steel,720110,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
4,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - NON-ALLOY PIG IRON CONTAINING BY WEIGHT 0.5% OR LESS OF PHOSPHORUS",,Iron and Steel,72011000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
5,"IRON AND STEEL~Pig iron and spiegeleisen in pigs, blocks or other primary forms~Non-alloy pig iron containing by weight more than 0.5% of phosphorus",,Iron and Steel,720120,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
6,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - NON-ALLOY PIG IRON CONTAINING BY WEIGHT MORE THAN 0.5% OF PHOSPHORUS",,Iron and Steel,72012000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
7,Alloy pig iron; spiegeleisen,,Iron and Steel,720150,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
8,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - ALLOY PIG IRON; SPIEGELEISEN : CAST IRON",,Iron and Steel,72015010,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
9,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - ALLOY PIG IRON; SPIEGELEISEN : OTHER",,Iron and Steel,72015090,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
10,FERRO-ALLOYS,,Iron and Steel,7202,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
11,IRON AND STEEL~Ferro-alloys~Containing by weight more than 2% of carbon,,Iron and Steel,720211,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
12,FERRO-ALLOYS - FERRO-MANGANESE : CONTAINING BY WEIGHT MORE THAN 2% OF CARBON,,Iron and Steel,72021100,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
13,IRON AND STEEL~Ferro-alloys~Other~19,,Iron and Steel,720219,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
14,FERRO-ALLOYS - FERRO-MANGANESE : OTHER,,Iron and Steel,72021900,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
15,IRON AND STEEL~Ferro-alloys~Containing by weight more than 55% of silicon,,Iron and Steel,720221,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
16,FERRO-ALLOYS - FERRO-SILICON: CONTAINING BY WEIGHT MORE THAN 55% OF SILICON,,Iron and Steel,72022100,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
17,IRON AND STEEL~Ferro-alloys~Other~29,,Iron and Steel,720229,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
18,FERRO-ALLOYS - FERRO-SILICON: OTHER,,Iron and Steel,72022900,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
19,IRON AND STEEL~Ferro-alloys~Ferro-silico-manganese,,Iron and Steel,720230,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
20,FERRO-ALLOYS - FERRO-SILICO-MANGANESE,,Iron and Steel,72023000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
21,IRON AND STEEL~Ferro-alloys~Containing by weight more than 4% of carbon,,Iron and Steel,720241,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
22,FERRO-ALLOYS - FERRO-CHROMIUM : CONTAINING BY WEIGHT MORE THAN 4% OF CARBON,,Iron and Steel,72024100,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
23,IRON AND STEEL~Ferro-alloys~Other~49,,Iron and Steel,720249,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
24,FERRO-ALLOYS - FERRO-CHROMIUM : OTHER,,Iron and Steel,72024900,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
25,IRON AND STEEL~Ferro-alloys~Ferro-silico-chromium,,Iron and Steel,720250,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
26,FERRO-ALLOYS - FERRO-SILICO-CHROMIUM,,Iron and Steel,72025000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
27,IRON AND STEEL~Ferro-alloys~Ferro-nickel,,Iron and Steel,720260,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
28,FERRO-ALLOYS - FERRO-NICKEL,,Iron and Steel,72026000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
29,IRON AND STEEL~Ferro-alloys~Ferro-molybdenum,,Iron and Steel,720270,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
30,FERRO-ALLOYS - FERRO-MOLYBDENUM,,Iron and Steel,72027000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
31,IRON AND STEEL~Ferro-alloys~Ferro tungsten and ferro-silico-tungsten,,Iron and Steel,720280,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
32,FERRO-ALLOYS - FERRO TUNGSTEN AND FERRO-SILICO-TUNGSTEN,,Iron and Steel,72028000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
33,IRON AND STEEL~Ferro-alloys~Ferro-titanium and Ferro-silico-titanium,,Iron and Steel,720291,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
34,FERRO-ALLOYS - OTHER : FERRO-TITANIUM AND FERRO-SILICO-TITANIUM,,Iron and Steel,72029100,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
