hsn_code,name,category,category_code
7201,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS",Iron and Steel,72
720110,"IRON AND STEEL~Pig iron and spiegeleisen in pigs, blocks or other primary forms~Non-alloy pig iron containing by weight 0.5% or less of phosphorus",Iron and Steel,72
72011000,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - NON-ALLOY PIG IRON CONTAINING BY WEIGHT 0.5% OR LESS OF PHOSPHORUS",Iron and Steel,72
720120,"IRON AND STEEL~Pig iron and spiegeleisen in pigs, blocks or other primary forms~Non-alloy pig iron containing by weight more than 0.5% of phosphorus",Iron and Steel,72
72012000,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - NON-ALLOY PIG IRON CONTAINING BY WEIGHT MORE THAN 0.5% OF PHOSPHORUS",Iron and Steel,72
720150,Alloy pig iron; spiegeleisen,Iron and Steel,72
72015010,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - ALLOY PIG IRON; SPIEGELEISEN : CAST IRON",Iron and Steel,72
72015090,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS - ALLOY PIG IRON; SPIEGELEISEN : OTHER",Iron and Steel,72
7202,FERRO-ALLOYS,Iron and Steel,72
720211,IRON AND STEEL~Ferro-alloys~Containing by weight more than 2% of carbon,Iron and Steel,72
72021100,FERRO-ALLOYS - FERRO-MANGANESE : CONTAINING BY WEIGHT MORE THAN 2% OF CARBON,Iron and Steel,72
720219,IRON AND STEEL~Ferro-alloys~Other~19,Iron and Steel,72
72021900,FERRO-ALLOYS - FERRO-MANGANESE : OTHER,Iron and Steel,72
720221,IRON AND STEEL~Ferro-alloys~Containing by weight more than 55% of silicon,Iron and Steel,72
72022100,FERRO-ALLOYS - FERRO-SILICON: CONTAINING BY WEIGHT MORE THAN 55% OF SILICON,Iron and Steel,72
720229,IRON AND STEEL~Ferro-alloys~Other~29,Iron and Steel,72
72022900,FERRO-ALLOYS - FERRO-SILICON: OTHER,Iron and Steel,72
720230,IRON AND STEEL~Ferro-alloys~Ferro-silico-manganese,Iron and Steel,72
72023000,FERRO-ALLOYS - FERRO-SILICO-MANGANESE,Iron and Steel,72
720241,IRON AND STEEL~Ferro-alloys~Containing by weight more than 4% of carbon,Iron and Steel,72
72024100,FERRO-ALLOYS - FERRO-CHROMIUM : CONTAINING BY WEIGHT MORE THAN 4% OF CARBON,Iron and Steel,72
720249,IRON AND STEEL~Ferro-alloys~Other~49,Iron and Steel,72
72024900,FERRO-ALLOYS - FERRO-CHROMIUM : OTHER,Iron and Steel,72
720250,IRON AND STEEL~Ferro-alloys~Ferro-silico-chromium,Iron and Steel,72
72025000,FERRO-ALLOYS - FERRO-SILICO-CHROMIUM,Iron and Steel,72
720260,IRON AND STEEL~Ferro-alloys~Ferro-nickel,Iron and Steel,72
72026000,FERRO-ALLOYS - FERRO-NICKEL,Iron and Steel,72
720270,IRON AND STEEL~Ferro-alloys~Ferro-molybdenum,Iron and Steel,72
72027000,FERRO-ALLOYS - FERRO-MOLYBDENUM,Iron and Steel,72
720280,IRON AND STEEL~Ferro-alloys~Ferro tungsten and ferro-silico-tungsten,Iron and Steel,72
72028000,FERRO-ALLOYS - FERRO TUNGSTEN AND FERRO-SILICO-TUNGSTEN,Iron and Steel,72
720291,IRON AND STEEL~Ferro-alloys~Ferro-titanium and Ferro-silico-titanium,Iron and Steel,72
72029100,FERRO-ALLOYS - OTHER : FERRO-TITANIUM AND FERRO-SILICO-TITANIUM,Iron and Steel,72
720292,IRON AND STEEL~Ferro-alloys~Ferro-vanadium,Iron and Steel,72
72029200,FERRO-ALLOYS - OTHER : FERRO-VANADIUM,Iron and Steel,72
720293,IRON AND STEEL~Ferro-alloys~Ferro-niobium,Iron and Steel,72
72029300,FERRO-ALLOYS - OTHER : FERRO-NIOBIUM,Iron and Steel,72
720299,Other,Iron and Steel,72
72029911,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-PHOSPHORUS",Iron and Steel,72
72029912,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-SELENIUM",Iron and Steel,72
72029913,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-COBALT",Iron and Steel,72
72029914,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-COLUMBIUM",Iron and Steel,72
72029915,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-ZIRCONIUM",Iron and Steel,72
